Product_ID,Sale_Date,Month,Year,Year_Month,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Total_Cost,Unit_Price,Discount,Discount_Value,Discount_Range,Unit_Profit,Profit,Margin_Profit,Customer_Type,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1057,07/11/2023,11,2023,23/11,Bob,East,"31,638.08",26,Clothing,39.25,"1,020.50","1,308.44",0.07,"2,381.36",0-10%,"1,269.19","30,617.58",0.97,Returning,Credit Card,Online,East-Bob
1058,02/03/2023,3,2023,23/03,Eve,East,"56,917.62",49,Furniture,54.65,"2,677.85","1,528.40",0.24,"17,973.98",21-30%,"1,473.75","54,239.77",0.95,Returning,Cash,Retail,East-Eve
1037,19/09/2023,9,2023,23/09,Alice,South,"18,749.52",17,Electronics,56.01,952.17,"1,575.59",0.3,"8,035.51",21-30%,"1,519.58","17,797.35",0.95,New,Cash,Online,South-Alice
1011,25/01/2023,1,2023,23/01,Eve,North,"28,242.61",22,Electronics,71.95,"1,582.90","1,510.30",0.15,"4,983.99",11-20%,"1,438.35","26,659.71",0.94,Returning,Cash,Retail,North-Eve
1013,12/01/2023,1,2023,23/01,Alice,West,"36,912.60",35,Electronics,60.14,"2,104.90","1,352.11",0.22,"10,411.25",21-30%,"1,291.97","34,807.70",0.94,Returning,Bank Transfer,Retail,West-Alice
1001,27/04/2023,4,2023,23/04,Eve,East,"28,172.34",25,Electronics,78.05,"1,951.25","1,543.69",0.27,"10,419.91",21-30%,"1,465.64","26,221.09",0.93,New,Credit Card,Online,East-Eve
1033,14/01/2023,1,2023,23/01,Alice,West,"30,856.67",24,Clothing,93.10,"2,234.40","1,367.76",0.06,"1,969.57",0-10%,"1,274.66","28,622.27",0.93,New,Bank Transfer,Online,West-Alice
1047,08/08/2023,8,2023,23/08,David,North,"40,033.24",33,Electronics,88.98,"2,936.34","1,427.21",0.15,"7,064.69",11-20%,"1,338.23","37,096.90",0.93,Returning,Credit Card,Online,North-David
1065,30/06/2023,6,2023,23/06,Eve,South,"14,433.22",13,Furniture,86.43,"1,123.59","1,441.88",0.23,"4,311.22",21-30%,"1,355.45","13,309.63",0.92,Returning,Credit Card,Retail,South-Eve
1019,15/12/2023,12,2023,23/12,David,East,"40,076.04",36,Clothing,87.94,"3,165.84","1,567.92",0.29,"16,369.08",21-30%,"1,479.98","36,910.20",0.92,New,Cash,Online,East-David
1090,17/07/2023,7,2023,23/07,David,North,"16,963.63",14,Electronics,97.90,"1,370.60","1,514.61",0.2,"4,240.91",11-20%,"1,416.71","15,593.03",0.92,New,Credit Card,Retail,North-David
1081,16/04/2023,4,2023,23/04,Charlie,West,"57,608.75",44,Electronics,109.58,"4,821.52","1,844.07",0.29,"23,530.33",21-30%,"1,734.49","52,787.23",0.92,New,Credit Card,Online,West-Charlie
1018,01/01/2024,1,2024,24/01,Alice,West,"29,475.96",24,Electronics,110.21,"2,645.04","1,729.81",0.29,"12,039.48",21-30%,"1,619.60","26,830.92",0.91,New,Bank Transfer,Online,West-Alice
1019,10/11/2023,11,2023,23/11,Bob,East,"40,219.01",33,Furniture,109.74,"3,621.42","1,486.29",0.18,"8,828.56",11-20%,"1,376.55","36,597.59",0.91,Returning,Credit Card,Retail,East-Bob
1030,15/11/2023,11,2023,23/11,Eve,East,"28,465.54",24,Clothing,117.95,"2,830.80","1,482.58",0.2,"7,116.38",11-20%,"1,364.63","25,634.74",0.90,Returning,Credit Card,Retail,East-Eve
1081,28/10/2023,10,2023,23/10,Charlie,North,"30,441.11",23,Food,158.80,"3,652.40","1,675.35",0.21,"8,091.94",21-30%,"1,516.55","26,788.71",0.88,New,Cash,Retail,North-Charlie
1079,06/08/2023,8,2023,23/08,David,North,"57,793.52",45,Clothing,154.33,"6,944.85","1,547.35",0.17,"11,837.23",11-20%,"1,393.02","50,848.67",0.88,New,Cash,Retail,North-David
1002,30/05/2023,5,2023,23/05,Eve,North,"51,266.53",44,Furniture,141.01,"6,204.44","1,533.09",0.24,"16,189.43",21-30%,"1,392.08","45,062.09",0.88,Returning,Credit Card,Retail,North-Eve
1011,03/12/2023,12,2023,23/12,Bob,East,"17,620.86",13,Electronics,190.12,"2,471.56","1,882.57",0.28,"6,852.55",21-30%,"1,692.45","15,149.30",0.86,Returning,Cash,Online,East-Bob
1007,14/06/2023,6,2023,23/06,Alice,North,"13,218.08",9,Clothing,229.19,"2,062.71","1,668.95",0.12,"1,802.47",11-20%,"1,439.76","11,155.37",0.84,Returning,Credit Card,Retail,North-Alice
1054,23/06/2023,6,2023,23/06,David,West,"33,848.74",27,Electronics,203.52,"5,495.04","1,510.43",0.17,"6,932.87",11-20%,"1,306.91","28,353.70",0.84,Returning,Cash,Retail,West-David
1093,02/10/2023,10,2023,23/10,Bob,West,"59,555.21",43,Electronics,234.19,"10,070.17","1,505.44",0.08,"5,178.71",0-10%,"1,271.25","49,485.04",0.83,New,Cash,Retail,West-Bob
1069,03/06/2023,6,2023,23/06,David,West,"44,842.29",42,Clothing,181.63,"7,628.46","1,482.88",0.28,"17,438.67",21-30%,"1,301.25","37,213.83",0.83,New,Credit Card,Retail,West-David
1072,25/08/2023,8,2023,23/08,Charlie,South,"17,984.03",12,Food,264.83,"3,177.96","1,545.02",0.03,556.21,0-10%,"1,280.19","14,806.07",0.82,New,Bank Transfer,Retail,South-Charlie
1086,28/12/2023,12,2023,23/12,Bob,West,"21,540.17",46,Furniture,83.86,"3,857.56",526.14,0.11,"2,662.27",11-20%,442.28,"17,682.61",0.82,Returning,Credit Card,Online,West-Bob
1100,17/09/2023,9,2023,23/09,Charlie,North,"7,816.37",17,Electronics,83.64,"1,421.88",528.49,0.13,"1,167.96",11-20%,444.85,"6,394.49",0.82,New,Credit Card,Online,North-Charlie
1084,21/09/2023,9,2023,23/09,Eve,South,"40,115.25",36,Furniture,206.20,"7,423.20","1,485.75",0.25,"13,371.75",21-30%,"1,279.55","32,692.05",0.81,New,Credit Card,Online,South-Eve
1013,21/10/2023,10,2023,23/10,David,East,"29,695.32",20,Electronics,280.79,"5,615.80","1,649.74",0.1,"3,299.48",0-10%,"1,368.95","24,079.52",0.81,Returning,Bank Transfer,Online,East-David
